# OOMMF OVF 2.0
#
# Segment count: 1
#
# Begin: Segment
# Begin: Header
#
# Title: Oxs_TimeDriver::Magnetization
# Desc: Oxs vector field output
# Desc:  MIF source file: C:/oommf/app/oxs/Oscar's files/Spinwave.mif
# Desc:  Iteration: 20, State id: 99577
# Desc:  Stage: 10, Stage iteration: 1
# Desc:  Stage simulation time: 1e-12 s
# Desc:  Total simulation time: 1e-11 s
# meshunit: m
# meshtype: rectangular
# xbase: 2.5000000000000001e-09
# ybase: 2.5000000000000001e-09
# zbase: 2.5000000000000001e-09
# xnodes: 2000
# ynodes: 20
# znodes: 1
# xstepsize: 5.0000000000000001e-09
# ystepsize: 5.0000000000000001e-09
# zstepsize: 5.0000000000000001e-09
# xmin: 0
# ymin: 0
# zmin: 0
# xmax: 1.0000000000000001e-05
# ymax: 9.9999999999999995e-08
# zmax: 5.0000000000000001e-09
# valuedim: 3
# valuelabels: Magnetization_x Magnetization_y Magnetization_z
# valueunits: A/m A/m A/m
#
# End: Header
#
# Begin: Data Text
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 800000 0 0
 799999.99960931262 21.632295033645132 -12.535696133928019
 799999.99906657066 30.487584354090657 -23.748566460295745
 799999.99881888903 29.62218474566313 -31.81672092137633
 799999.99895972665 24.037380340140675 -32.964247462318241
 799999.99915534561 21.422138285073757 -29.875390812234443
 799999.99922618258 21.368381045059419 -27.955326714926276
 799999.99926151731 21.043136965033639 -27.180118192603356
 799999.99930662231 20.339512487366463 -26.376288577790124
 799999.99935210461 19.664216195377136 -25.494139091066994
 799999.99939355755 19.041671499258076 -24.652036596003953
 799999.99943180254 18.441910912625758 -23.853972781528547
 799999.99946732773 17.863339598560529 -23.090622775530242
 799999.99950031785 17.307097997733326 -22.359689491669968
 799999.99953096127 16.772634643838852 -21.659655939273861
 799999.99955944286 16.259137326106806 -20.988846971907297
 799999.99958593328 15.765781378372282 -20.345683608634126
 799999.99961058842 15.291724985328003 -19.728704895272909
 799999.99963355111 14.836128509940371 -19.136550711129395
 799999.99965495244 14.398170011043696 -18.567952033732588
 799999.99967491208 13.977053641831663 -18.021722955459655
 799999.99969354004 13.572014182783789 -17.496753427447352
 799999.99971093645 13.18231926290699 -16.992002813359761
